Entity_Code,Parent_Entity,名称
EN5,Entity,分摊中转部门
EN501,EN5,大搜狐_分摊中转部门
EN508,EN5,体育中心_分摊中转部门
EN502,EN5,汽车_分摊中转部门
EN503,EN5,焦点_分摊中转部门
EN504,EN5,视频_分摊中转部门
EN507,EN5,视频_PC端_分摊中转部门
EN506,EN5,视频_移动端_分摊中转部门
EN505,EN5,FacilityEntity
GROUP,Entity,搜狐集团
EN_offset,GROUP,虚拟抵消实体
SOGOUTOTAL,GROUP,搜狗汇总
SOGOU,SOGOUTOTAL,搜狗
EN105,SOGOUTOTAL,Go2mapPC端
SOSO,SOGOUTOTAL,搜搜
CYOUTOTAL,GROUP,畅游汇总
17173,CYOUTOTAL,17173
CYOU,CYOUTOTAL,畅游
CYOUOTHERS,CYOUTOTAL,CYOU_Others
SOHU,GROUP,搜狐
EN00,SOHU,搜狐_缺省
EN1,SOHU,大搜狐
EN100,EN1,大搜狐_缺省
END01,EN1,搜狐媒体_PC端
END0199,END01,搜狐媒体_PC端_缺省
EN101,END01,广告销售
EN10101,EN101,北京_广告销售
EN10102,EN101,上海_广告销售
EN10103,EN101,广州_广告销售
EN10104,EN101,精准营销中心_广告销售
EN106,EN101,客户服务中心
EN102,END01,大内容
EN10200,EN102,大内容_缺省
EN10217,EN102,新闻财经中心
EN10209,EN10217,新闻中心
EN10210,EN10217,总编室
EN10213,EN10217,军事中心_大内容
EN10215,EN10217,文化中心_大内容
EN10207,EN10217,金融中心
EN10202,EN10217,财经中心
EN1021109,EN10217,时尚频道
EN1021106,EN10217,女人频道
EN10206,EN102,体育中心
EN10216,EN102,搜狐新闻视频部（邱启明）
EN10204,EN102,媒体合作中心
EN10220,EN102,产品技术部
EN113,EN10220,科技
EN10221,EN10220,搜生活
EN1021101,EN10221,健康频道
EN1021110,EN10221,视频支持部
EN1021111,EN10221,手机时尚部
EN1021113,EN10221,用户体验部
EN1021118,EN10221,内容营销中心
EN1021119,EN10221,内容推广中心
EN10212,EN10221,移动媒体部_大内容
EN10208,EN10221,新媒体中心
EN1022101,EN10221,搜生活_本部
EN10218,EN10220,媒体平台
EN10211,EN10218,媒体组
EN1021102,EN10211,教育频道
EN1021103,EN10211,旅游频道
EN1021112,EN10211,星座频道
EN1021105,EN10211,母婴频道
EN1021114,EN10211,美食组
EN10219,EN10218,社区
EN10214,EN10219,彩票频道
EN10205,EN10219,搜狐社区中心
EN10203,EN10219,城市频道
EN10201,EN10219,BD
EN1021104,EN10218,绿色频道
EN1021107,EN10218,品推组
EN1021108,EN10218,上海记者站
EN1021115,EN10218,奢侈品
EN1021116,EN10218,艺术频道
EN1021117,EN10218,技术设计部
EN1021120,EN10218,时尚移动端
EN10403,EN10218,媒体平台_本部
EN10222,EN102,快站
EN1022201,EN10222,快站_本部
EN10402,EN10222,MySohu产品部
EN10404,EN10222,微门户产品部
EN103,END01,搜狐市场部
EN108,END01,微博业务部
EN111,END01,网安中心
EN104,END01,门户技术中心
EN10410,EN104,门户技术中心缺省
EN10405,EN104,应用运维部
EN11407,EN104,邮件中心
EN10406,EN104,企业服务部
EN10408,EN104,社交媒体部
EN122,EN104,武汉研发
EN10409,EN104,基础研发部
EN10407,EN104,SendCloud
EN123,END01,大数据中心-产品市场组
EN107,END01,广告其他
EN1051,END01,Go2map
END02,EN1,搜狐媒体_移动端
END0299,END02,搜狐媒体_移动端_缺省
EN109,END02,新闻客户端
EN120,END02,手机搜狐网
EN121,END02,移动应用探索中心及移动质量保证中心
EN110,EN1,SP业务
END03,EN1,Corporate
EN112,END03,呼叫中心
EN114,END03,技术中心
EN11499,EN114,技术中心缺省
EN11400,EN114,技术中心_缺省
EN11401,EN114,支付平台产品部
EN11402,EN114,北京研发中心
EN11403,EN114,技术运维部
EN11404,EN114,ERP部
EN11409,EN114,MIS部
EN11405,EN114,搜狐采购部
EN11406,EN114,武汉研发中心
EN10401,EN114,大数据中心
EN11408,EN114,家庭娱乐事业部
EN115,END03,Backoffice
EN11599,EN115,Backofficeadj
EN11504,EN115,投资者关系部
EN11507,EN115,员工服务中心
EN11501,EN115,财务部
EN11505,EN115,内部审计部
EN11506,EN115,人力资源部
EN11503,EN115,集团管理部
EN11502,EN115,法律部
EN11508,EN115,农场
END04,EN1,辅助
EN116,END04,办公费用公摊
EN117,END04,集团内部交易
EN118,END04,增值税的附加税
EN119,END04,折旧带宽公摊
EN2,SOHU,焦点
EN200,EN2,焦点_缺省
EN299,EN2,焦点_调整
EN203,EN2,新房_焦点
EN20301,EN203,新房_北京
EN2030601,EN203,新房_天津
EN20303,EN203,新房_上海
EN20304,EN203,旅游地产_新房
EN2030403,EN20304,区域运营_旅游地产_新房
EN2030401,EN20304,新房_海口
EN2030406,EN20304,新房_三亚
EN2030402,EN20304,北京_旅游地产_新房_13
EN2030404,EN20304,新房_大理
EN2030405,EN20304,新房_威海
EN20305,EN203,东北区_新房
EN2030505,EN20305,区域运营_东北区_新房
EN2030501,EN20305,新房_哈尔滨
EN2030502,EN20305,新房_长春
EN2030504,EN20305,新房_大连
EN2030503,EN20305,新房_沈阳
EN20306,EN203,华北区_新房
EN2030609,EN20306,区域运营_华北区_新房
EN2030602,EN20306,新房_济南
EN2030603,EN20306,新房_青岛
EN2030604,EN20306,新房_太原
EN2030605,EN20306,新房_郑州
EN2030606,EN20306,新房_秦皇岛
EN2030607,EN20306,唐山_华北区_新房_13
EN2030608,EN20306,新房_石家庄
EN2030610,EN20306,新房_呼和浩特
EN2030611,EN20306,新房_烟台
EN20307,EN203,华东区_新房
EN2030709,EN20307,区域运营_华东区_新房
EN2030702,EN20307,新房_杭州
EN2030701,EN20307,新房_南京
EN2030704,EN20307,新房_无锡
EN2030703,EN20307,新房_苏州
EN2030705,EN20307,新房_常州
EN2030707,EN20307,新房_武汉
EN2030706,EN20307,新房_合肥
EN2030708,EN20307,新房_宁波
EN20308,EN203,华南区_新房
EN2030806,EN20308,区域运营_华南区_新房
EN2030807,EN20308,新房_产业
EN2030801,EN20308,新房_广州
EN2030802,EN20308,新房_深圳
EN2030803,EN20308,新房_东莞
EN2030804,EN20308,新房_厦门
EN2030805,EN20308,新房_长沙
EN2030808,EN20308,新房_福州
EN2030809,EN20308,新房_珠海
EN20310,EN20308,新房_分摊部
EN2030811,EN20308,新房_惠州
EN2030812,EN20308,新房_佛山
EN20309,EN203,西南区_新房
EN2030906,EN20309,区域运营_西南区_新房
EN2030901,EN20309,新房_重庆
EN2030907,EN20309,新房_乔戈里
EN2030902,EN20309,新房_成都
EN2030903,EN20309,新房_西安
EN2030905,EN20309,新房_南宁
EN2030904,EN20309,新房_昆明
EN20302,EN203,新房_后台
EN205,EN2,新房_加盟站
EN202,EN2,家居_焦点
EN20201,EN202,华北区_家居_13
EN20202,EN202,华东区_家居_13
EN20203,EN202,华南区_家居_13
EN20205,EN202,后台_家居_13
EN20206,EN202,家居_广告媒体中心
EN20207,EN202,家居_网站运营部
EN20209,EN202,家居_策略部
EN20208,EN202,家居_设计师部
EN20204,EN202,家居_装修服务中心
EN201,EN2,二手房_焦点
EN20101,EN201,二手房_北京
EN20103,EN201,二手房_天津
EN20102,EN201,二手房_上海
EN20107,EN201,二手房_深圳
EN20106,EN201,二手房_广州
EN20104,EN201,二手房_成都
EN20109,EN201,二手房_重庆
EN20110,EN201,二手房_苏州
EN20111,EN201,二手房_石家庄
EN20112,EN201,二手房_昆明
EN20108,EN201,二手房_后台
EN204,EN2,全国支持_焦点
EN20403,EN204,全国支持_经营管理中心
EN20404,EN204,全国支持_市场部
EN20401,EN204,全国支持_产品部
EN20402,EN204,移动事业部_全国支持
EN20406,EN204,思源_全国支持_13
EN20405,EN204,全国支持_管理部
EN20407,EN204,员工服务中心_全国支持
EN20408,EN204,财务/法律/人事_全国支持
EN3,SOHU,汽车
EN300,EN3,汽车_缺省
EN399,EN3,汽车_调整
EN301,EN3,外站_汽车
EN30101,EN301,东北区_汽车
EN30102,EN301,华北区_汽车
EN30106,EN301,华东区_汽车
EN30107,EN301,华南区_汽车
EN30105,EN301,华中区_汽车
EN30103,EN301,山东区_汽车
EN30104,EN301,苏皖区_汽车
EN30108,EN301,西部区_汽车
EN30109,EN301,区域支持_汽车
EN302,EN3,总部_汽车
EN30204,EN302,高管组_汽车
EN30205,EN302,行政组_汽车
EN30212,EN302,总编室_汽车
EN30208,EN302,市场部_汽车
EN30211,EN302,营销策略中心_汽车
EN30210,EN302,新闻中心_汽车
EN30218,EN302,咨询产品技术部_汽车
EN30216,EN302,二手车中心_汽车
EN30214,EN302,评测中心_汽车
EN30219,EN302,车型库中心_汽车
EN30215,EN302,报价库中心_汽车
EN30220,EN302,车迷中心_汽车
EN30201,EN302,产品中心_汽车
EN30206,EN302,互动中心_汽车
EN30213,EN302,数据中心_汽车
EN30217,EN302,移动中心_汽车
EN30207,EN302,技术中心_汽车
EN30203,EN302,服务营销中心_汽车
EN30222,EN302,内容及运营中心一部_汽车
EN30223,EN302,内容及运营中心二部_汽车
EN30224,EN302,内容及运营中心三部_汽车
EN30225,EN302,内容及运营中心四部_汽车
EN30226,EN302,媒体产品中心_汽车
EN30227,EN302,自媒体运营组_汽车
EN30202,EN302,导购中心_汽车
EN30221,EN302,新平台_汽车
EN3022104,EN30221,高管_新平台_汽车
EN3022102,EN30221,产品中心_新平台_汽车
EN3022101,EN30221,内容中心_新平台_汽车
EN30209,EN30221,技术中心_新平台_汽车
EN3022103,EN30221,买车宝_新平台_汽车
EN30228,EN302,车主服务中心_汽车
EN30229,EN302,视频组_汽车
EN4,SOHU,视频
EN400,EN4,视频_缺省
EN499,EN4,视频_调整
EN403,EN4,内容运营_视频
EN40301,EN403,内容编辑部_视频
EN40302,EN403,广电合作部_视频
EN412,EN4,市场推广中心_视频
EN411,EN4,艺人合作中心_视频
EN41101,EN411,艺人中心_视频
EN41102,EN411,大型活动部_视频
EN410,EN4,版权影视中心_视频
EN404,EN410,版权采购部_视频
EN405,EN410,版权分销部_视频
EN406,EN410,影视剧投资部_视频
EN407,EN410,影视制作部_视频
EN402,EN4,技术中心_视频
EN40206,EN402,技术成本_视频
EN40203,EN402,技术部_视频
EN40201,EN402,付费用户_视频
EN40202,EN402,互动直播部_视频
EN40211,EN4,前向事业部-cost虚拟部门
EN40212,EN4,移动视频游戏运营部-cost虚拟部门
EN40209,EN4,Number_视频
EN40210,EN4,视频-corp_前向事业部
EN40205,EN4,产品中心_视频
EN40207,EN4,产品技术中心_视频
EN401,EN4,广告销售_视频
EN408,EN4,市场沟通中心_视频
EN40901,EN4,经营管理中心_视频
EN4090101,EN40901,商务发展部_视频
EN4090102,EN40901,经营管理部_视频
EN40902,EN4,员工中心_视频
EN409,EN4,视频虚拟部门_视频
EN40903,EN409,财务部_视频
EN40904,EN409,法律部_视频
EN40905,EN409,内部审计部_视频
EN40906,EN409,人力资源部_视频
EN40907,EN409,管理部_视频
EN40908,EN409,分摊费用部门_视频
EN413,EN4,多屏互动云平台_视频
EN40204,EN413,移动视频中心_多屏互动云平台
EN40213,EN413,游戏运营部_多屏互动云平台
EN40214,EN413,OTT_多屏互动云平台
EN40215,EN413,基础运营部_多屏互动云平台
EN40208,EN413,前向事业部_多屏互动云平台
EN414,EN4,商业产品技术中心_视频
GROUP_EN,GROUP,集团调整
NoEntity,Entity,与部门无关
EN6,Entity,报表辅助部门
ENVTotal,EN6,视频分端汇总
EN603,ENVTotal,视频-PC端
EN604,ENVTotal,视频-移动端
EN606,ENVTotal,视频-前项收费
EN607,ENVTotal,视频-Corp
EN611,ENVTotal,视频：传统广告+PGC
EN612,ENVTotal,视频：付费
EN613,ENVTotal,视频：增值+游戏（原SP业务）
EN614,ENVTotal,视频：直播
EN615,ENVTotal,视频：其他（分销、ITV等）
ENCYTotal,EN6,畅游合计
ENCY01,ENCYTotal,畅游：游戏
ENCY02,ENCYTotal,畅游：17173
ENCY03,ENCYTotal,畅游：互联
ENCY04,ENCYTotal,畅游：晶茂
ENCY06,ENCYTotal,畅游：RC
ENCY05,ENCYTotal,畅游：其他
EN601,EN6,搜狐门户
END01,EN601,搜狐媒体_PC端
END02,EN601,搜狐媒体_移动端
EN602,EN6,CorporateTotal
EN1,EN602,大搜狐
EN110,EN602,SP业务
END02,EN602,搜狐媒体_移动端
END01,EN602,搜狐媒体_PC端
EN605,EN6,新闻财经中心(测试)
EN10202,EN605,财经中心
EN10203,EN605,城市频道
EN10207,EN605,金融中心
EN10209,EN605,新闻中心
EN10210,EN605,总编室
EN10213,EN605,军事中心_大内容
EN10215,EN605,文化中心_大内容
EN609,EN6,资讯中心(测试)
EN10201,EN609,BD
EN10205,EN609,搜狐社区中心
EN10211,EN609,媒体组
EN10214,EN609,彩票频道
EN10212,EN609,移动媒体部_大内容
EN10208,EN609,新媒体中心
EN113,EN609,科技
EN608,EN6,大内容媒体产品
EN10214,EN608,彩票频道
EN699,EN6,技术中心&BackOffice部门合计
EN10206,EN6,体育中心
EN10200,EN6,大内容_缺省
EN10216,EN6,搜狐新闻视频部（邱启明）
EN10204,EN6,媒体合作中心
EN10203,EN6,城市频道
EN10205,EN6,搜狐社区中心
